Name	Description	Status  	Startup Type	Log On As
AarSvc_4d868	<Failed to Read Description. Error Code: 2 > 		Manual	Local System
ABBYY FineReader 16 Licensing Service	This service is required for the operation of the ABBYY FineReader PDF licensing mechanism.	Running	Automatic	Local System
AJRouter	<Failed to Read Description. Error Code: 2 > 		Manual (Trigger Start)	Local Service
ALG	<Failed to Read Description. Error Code: 2 > 		Manual	Local Service
AnyDesk Service	AnyDesk support service.	Running	Automatic	Local System
AppIDSvc	<Failed to Read Description. Error Code: 2 > 		Manual (Trigger Start)	Local Service
Appinfo	<Failed to Read Description. Error Code: 2 > 	Running	Manual (Trigger Start)	Local System
AppReadiness	<Failed to Read Description. Error Code: 2 > 		Manual	Local System
AppXSvc	<Failed to Read Description. Error Code: 2 > 	Running	Manual (Trigger Start)	Local System
AudioEndpointBuilder	<Failed to Read Description. Error Code: 2 > 	Running	Automatic	Local System
Audiosrv	<Failed to Read Description. Error Code: 2 > 	Running	Automatic	Local Service
autotimesvc	<Failed to Read Description. Error Code: 2 > 		Manual (Trigger Start)	Local Service
AxInstSV	<Failed to Read Description. Error Code: 2 > 		Manual	Local System
BcastDVRUserService_4d868	<Failed to Read Description. Error Code: 2 > 		Manual	Local System
BDESVC	<Failed to Read Description. Error Code: 2 > 		Manual (Trigger Start)	Local System
BFE	<Failed to Read Description. Error Code: 2 > 	Running	Automatic	Local Service
BITS	<Failed to Read Description. Error Code: 2 > 		Manual	Local System
BluetoothUserService_4d868	<Failed to Read Description. Error Code: 2 > 	Running	Manual (Trigger Start)	Local System
Bonjour Service	Enables hardware devices and software services to automatically configure themselves on the network and advertise their presence.	Running	Automatic	Local System
BrokerInfrastructure	<Failed to Read Description. Error Code: 2 > 	Running	Automatic	Local System
Browser	<Failed to Read Description. Error Code: 2 > 	Running	Manual (Trigger Start)	Local System
BTAGService	<Failed to Read Description. Error Code: 2 > 	Running	Manual (Trigger Start)	Local Service
BthAvctpSvc	<Failed to Read Description. Error Code: 2 > 	Running	Manual (Trigger Start)	Local Service
bthserv	<Failed to Read Description. Error Code: 2 > 	Running	Manual (Trigger Start)	Local Service
camsvc	<Failed to Read Description. Error Code: 2 > 	Running	Manual (Trigger Start)	Local System
CaptureService_4d868	<Failed to Read Description. Error Code: 2 > 		Manual	Local System
cbdhsvc_4d868	<Failed to Read Description. Error Code: 2 > 	Running	Automatic (Delayed Start)	Local System
CDPSvc	<Failed to Read Description. Error Code: 2 > 	Running	Automatic (Delayed Start, Trigger Start)	Local Service
CDPUserSvc_4d868	<Failed to Read Description. Error Code: 2 > 	Running	Automatic	Local System
CertPropSvc	<Failed to Read Description. Error Code: 2 > 		Manual (Trigger Start)	Local System
ClipSVC	<Failed to Read Description. Error Code: 2 > 	Running	Manual (Trigger Start)	Local System
CloudBackupRestoreSvc_4d868	<Failed to Read Description. Error Code: 2 > 		Manual	Local System
COMSysApp	<Failed to Read Description. Error Code: 2 > 		Manual	Local System
ConsentUxUserSvc_4d868	<Failed to Read Description. Error Code: 2 > 		Manual	Local System
CoreMessagingRegistrar	<Failed to Read Description. Error Code: 2 > 	Running	Automatic	Local Service
CredentialEnrollmentManagerUserSvc_4d868	<Failed to Read Description. Error Code: 2 > 		Manual	Local System
CryptSvc	<Failed to Read Description. Error Code: 2 > 	Running	Automatic (Trigger Start)	Network Service
DcomLaunch	<Failed to Read Description. Error Code: 2 > 	Running	Automatic	Local System
dcsvc	<Failed to Read Description. Error Code: 2 > 		Manual (Trigger Start)	Local System
defragsvc	<Failed to Read Description. Error Code: 2 > 		Manual	Local System
DeviceAssociationBrokerSvc_4d868	<Failed to Read Description. Error Code: 2 > 		Manual	Local System
